DIRECCIONAMIENTO MQTT OBSERVATORIO AURA LSST 2020 - 2021 -2023;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 2;FANCOIL N°5;HEAT.COOL;LSST/PISO02/FANCOIL05/ESTADO_OPERACION;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;HTG STG 1;LSST/PISO02/FANCOIL05/ESTADO_CALEFACTOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;FAN;LSST/PISO02/FANCOIL05/ESTADO_VENTILADOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;ROOM TEMP;LSST/PISO02/FANCOIL05/TEMPERATURA_SALA;.;;ANALOG VALUE;READ ;22;20°C a 26°C;°C;OK;;;
;;VLV POS;LSST/PISO02/FANCOIL05/%_APERTURA_VALVULA_FRIO;.;;ANALOG OUTPUT;READ ;22;0% a 100%;%;OK;;;
;;DAY CLG STPT;LSST/PISO02/FANCOIL05/SETPOINT_COOLING_DAY;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;DAY HTG STPT;LSST/PISO02/FANCOIL05/SETPOINT_HEATING_DAY;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;NGT CLG STPT;LSST/PISO02/FANCOIL05/SETPOINT_COOLING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;NGT HTG STPT;LSST/PISO02/FANCOIL05/SETPOINT_HEATING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;CTL STPT;LSST/PISO02/FANCOIL05/SETPOINT_TRABAJO;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;PP_selector;LSST/PISO02/FANCOIL05/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;VLV POS_LSST;LSST/PISO02/FANCOIL05/%_APERTURA_VALVULA_FRIO_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;OK;;;
;;DAY CLG STPT_LSST;LSST/PISO02/FANCOIL05/SETPOINT_COOLING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;DAY HTG STPT_LSST;LSST/PISO02/FANCOIL05/SETPOINT_HEATING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;NGT CLG STPT_LSST;LSST/PISO02/FANCOIL05/SETPOINT_COOLING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;NGT HTG STPT_LSST;LSST/PISO02/FANCOIL05/SETPOINT_HEATING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;CTL STPT_LSST;LSST/PISO02/FANCOIL05/SETPOINT_TRABAJO_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;PP_selector_LSST;LSST/PISO02/FANCOIL05/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;OK;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 2;FANCOIL N°6;HEAT.COOL;LSST/PISO02/FANCOIL06/ESTADO_OPERACION;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;HTG STG 1;LSST/PISO02/FANCOIL06/ESTADO_CALEFACTOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;FAN;LSST/PISO02/FANCOIL06/ESTADO_VENTILADOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;ROOM TEMP;LSST/PISO02/FANCOIL06/TEMPERATURA_SALA;.;;ANALOG VALUE;READ ;22;20°C a 26°C;°C;OK;;;
;;VLV POS;LSST/PISO02/FANCOIL06/%_APERTURA_VALVULA_FRIO;.;;ANALOG OUTPUT;READ ;22;0% a 100%;%;OK;;;
;;DAY CLG STPT;LSST/PISO02/FANCOIL06/SETPOINT_COOLING_DAY;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;DAY HTG STPT;LSST/PISO02/FANCOIL06/SETPOINT_HEATING_DAY;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;NGT CLG STPT;LSST/PISO02/FANCOIL06/SETPOINT_COOLING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;NGT HTG STPT;LSST/PISO02/FANCOIL06/SETPOINT_HEATING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;CTL STPT;LSST/PISO02/FANCOIL06/SETPOINT_TRABAJO;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;PP_selector;LSST/PISO02/FANCOIL06/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;VLV POS_LSST;LSST/PISO02/FANCOIL06/%_APERTURA_VALVULA_FRIO_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;OK;;;
;;DAY CLG STPT_LSST;LSST/PISO02/FANCOIL06/SETPOINT_COOLING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;DAY HTG STPT_LSST;LSST/PISO02/FANCOIL06/SETPOINT_HEATING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;NGT CLG STPT_LSST;LSST/PISO02/FANCOIL06/SETPOINT_COOLING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;NGT HTG STPT_LSST;LSST/PISO02/FANCOIL06/SETPOINT_HEATING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;CTL STPT_LSST;LSST/PISO02/FANCOIL06/SETPOINT_TRABAJO_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;PP_selector_LSST;LSST/PISO02/FANCOIL06/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;OK;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 2;FANCOIL N°7;HEAT.COOL;LSST/PISO02/FANCOIL07/ESTADO_OPERACION;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;HTG STG 1;LSST/PISO02/FANCOIL07/ESTADO_CALEFACTOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;FAN;LSST/PISO02/FANCOIL07/ESTADO_VENTILADOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;ROOM TEMP;LSST/PISO02/FANCOIL07/TEMPERATURA_SALA;.;;ANALOG VALUE;READ ;22;20°C a 26°C;°C;OK;;;
;;VLV POS;LSST/PISO02/FANCOIL07/%_APERTURA_VALVULA_FRIO;.;;ANALOG OUTPUT;READ ;22;0% a 100%;%;OK;;;
;;DAY CLG STPT;LSST/PISO02/FANCOIL07/SETPOINT_COOLING_DAY;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;DAY HTG STPT;LSST/PISO02/FANCOIL07/SETPOINT_HEATING_DAY;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;NGT CLG STPT;LSST/PISO02/FANCOIL07/SETPOINT_COOLING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;NGT HTG STPT;LSST/PISO02/FANCOIL07/SETPOINT_HEATING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;CTL STPT;LSST/PISO02/FANCOIL07/SETPOINT_TRABAJO;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;PP_selector;LSST/PISO02/FANCOIL07/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;VLV POS_LSST;LSST/PISO02/FANCOIL07/%_APERTURA_VALVULA_FRIO_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;OK;;;
;;DAY CLG STPT_LSST;LSST/PISO02/FANCOIL07/SETPOINT_COOLING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;DAY HTG STPT_LSST;LSST/PISO02/FANCOIL07/SETPOINT_HEATING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;NGT CLG STPT_LSST;LSST/PISO02/FANCOIL07/SETPOINT_COOLING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;NGT HTG STPT_LSST;LSST/PISO02/FANCOIL07/SETPOINT_HEATING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;CTL STPT_LSST;LSST/PISO02/FANCOIL07/SETPOINT_TRABAJO_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;PP_selector_LSST;LSST/PISO02/FANCOIL07/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;OK;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 2;FANCOIL N°8;HEAT.COOL;LSST/PISO02/FANCOIL08/ESTADO_OPERACION;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;HTG STG 1;LSST/PISO02/FANCOIL08/ESTADO_CALEFACTOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;FAN;LSST/PISO02/FANCOIL08/ESTADO_VENTILADOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;ROOM TEMP;LSST/PISO02/FANCOIL08/TEMPERATURA_SALA;.;;ANALOG VALUE;READ ;22;20°C a 26°C;°C;OK;;;
;;VLV POS;LSST/PISO02/FANCOIL08/%_APERTURA_VALVULA_FRIO;.;;ANALOG OUTPUT;READ ;22;0% a 100%;%;OK;;;
;;DAY CLG STPT;LSST/PISO02/FANCOIL08/SETPOINT_COOLING_DAY;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;DAY HTG STPT;LSST/PISO02/FANCOIL08/SETPOINT_HEATING_DAY;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;NGT CLG STPT;LSST/PISO02/FANCOIL08/SETPOINT_COOLING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;NGT HTG STPT;LSST/PISO02/FANCOIL08/SETPOINT_HEATING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;CTL STPT;LSST/PISO02/FANCOIL08/SETPOINT_TRABAJO;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;PP_selector;LSST/PISO02/FANCOIL08/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;VLV POS_LSST;LSST/PISO02/FANCOIL08/%_APERTURA_VALVULA_FRIO_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;OK;;;
;;DAY CLG STPT_LSST;LSST/PISO02/FANCOIL08/SETPOINT_COOLING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;DAY HTG STPT_LSST;LSST/PISO02/FANCOIL08/SETPOINT_HEATING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;NGT CLG STPT_LSST;LSST/PISO02/FANCOIL08/SETPOINT_COOLING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;NGT HTG STPT_LSST;LSST/PISO02/FANCOIL08/SETPOINT_HEATING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;CTL STPT_LSST;LSST/PISO02/FANCOIL08/SETPOINT_TRABAJO_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;PP_selector_LSST;LSST/PISO02/FANCOIL08/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;OK;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 2;FANCOIL N°9;HEAT.COOL;LSST/PISO02/FANCOIL09/ESTADO_OPERACION;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;HTG STG 1;LSST/PISO02/FANCOIL09/ESTADO_CALEFACTOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;FAN;LSST/PISO02/FANCOIL09/ESTADO_VENTILADOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;ROOM TEMP;LSST/PISO02/FANCOIL09/TEMPERATURA_SALA;.;;ANALOG VALUE;READ ;22;20°C a 26°C;°C;OK;;;
;;VLV POS;LSST/PISO02/FANCOIL09/%_APERTURA_VALVULA_FRIO;.;;ANALOG OUTPUT;READ ;22;0% a 100%;%;OK;;;
;;DAY CLG STPT;LSST/PISO02/FANCOIL09/SETPOINT_COOLING_DAY;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;DAY HTG STPT;LSST/PISO02/FANCOIL09/SETPOINT_HEATING_DAY;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;NGT CLG STPT;LSST/PISO02/FANCOIL09/SETPOINT_COOLING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;NGT HTG STPT;LSST/PISO02/FANCOIL09/SETPOINT_HEATING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;CTL STPT;LSST/PISO02/FANCOIL09/SETPOINT_TRABAJO;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;PP_selector;LSST/PISO02/FANCOIL09/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;VLV POS_LSST;LSST/PISO02/FANCOIL09/%_APERTURA_VALVULA_FRIO_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;OK;;;
;;DAY CLG STPT_LSST;LSST/PISO02/FANCOIL09/SETPOINT_COOLING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;DAY HTG STPT_LSST;LSST/PISO02/FANCOIL09/SETPOINT_HEATING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;NGT CLG STPT_LSST;LSST/PISO02/FANCOIL09/SETPOINT_COOLING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;NGT HTG STPT_LSST;LSST/PISO02/FANCOIL09/SETPOINT_HEATING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;CTL STPT_LSST;LSST/PISO02/FANCOIL09/SETPOINT_TRABAJO_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;PP_selector_LSST;LSST/PISO02/FANCOIL09/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;OK;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 2;FANCOIL N°10;HEAT.COOL;LSST/PISO02/FANCOIL10/ESTADO_OPERACION;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;HTG STG 1;LSST/PISO02/FANCOIL10/ESTADO_CALEFACTOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;FAN;LSST/PISO02/FANCOIL10/ESTADO_VENTILADOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;ROOM TEMP;LSST/PISO02/FANCOIL10/TEMPERATURA_SALA;.;;ANALOG VALUE;READ ;22;20°C a 26°C;°C;OK;;;
;;VLV POS;LSST/PISO02/FANCOIL10/%_APERTURA_VALVULA_FRIO;.;;ANALOG OUTPUT;READ ;22;0% a 100%;%;OK;;;
;;DAY CLG STPT;LSST/PISO02/FANCOIL10/SETPOINT_COOLING_DAY;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;DAY HTG STPT;LSST/PISO02/FANCOIL10/SETPOINT_HEATING_DAY;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;NGT CLG STPT;LSST/PISO02/FANCOIL10/SETPOINT_COOLING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;NGT HTG STPT;LSST/PISO02/FANCOIL10/SETPOINT_HEATING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;CTL STPT;LSST/PISO02/FANCOIL10/SETPOINT_TRABAJO;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;PP_selector;LSST/PISO02/FANCOIL10/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;VLV POS_LSST;LSST/PISO02/FANCOIL10/%_APERTURA_VALVULA_FRIO_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;OK;;;
;;DAY CLG STPT_LSST;LSST/PISO02/FANCOIL10/SETPOINT_COOLING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;DAY HTG STPT_LSST;LSST/PISO02/FANCOIL10/SETPOINT_HEATING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;NGT CLG STPT_LSST;LSST/PISO02/FANCOIL10/SETPOINT_COOLING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;NGT HTG STPT_LSST;LSST/PISO02/FANCOIL10/SETPOINT_HEATING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;CTL STPT_LSST;LSST/PISO02/FANCOIL10/SETPOINT_TRABAJO_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;PP_selector_LSST;LSST/PISO02/FANCOIL10/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;OK;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 2;FANCOIL N°11;HEAT.COOL;LSST/PISO02/FANCOIL11/ESTADO_OPERACION;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;HTG STG 1;LSST/PISO02/FANCOIL11/ESTADO_CALEFACTOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;FAN;LSST/PISO02/FANCOIL11/ESTADO_VENTILADOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;ROOM TEMP;LSST/PISO02/FANCOIL11/TEMPERATURA_SALA;.;;ANALOG VALUE;READ ;22;20°C a 26°C;°C;OK;;;
;;VLV POS;LSST/PISO02/FANCOIL11/%_APERTURA_VALVULA_FRIO;.;;ANALOG OUTPUT;READ ;22;0% a 100%;%;OK;;;
;;DAY CLG STPT;LSST/PISO02/FANCOIL11/SETPOINT_COOLING_DAY;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;DAY HTG STPT;LSST/PISO02/FANCOIL11/SETPOINT_HEATING_DAY;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;NGT CLG STPT;LSST/PISO02/FANCOIL11/SETPOINT_COOLING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;NGT HTG STPT;LSST/PISO02/FANCOIL11/SETPOINT_HEATING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;CTL STPT;LSST/PISO02/FANCOIL11/SETPOINT_TRABAJO;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;PP_selector;LSST/PISO02/FANCOIL11/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;VLV POS_LSST;LSST/PISO02/FANCOIL11/%_APERTURA_VALVULA_FRIO_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;OK;;;
;;DAY CLG STPT_LSST;LSST/PISO02/FANCOIL11/SETPOINT_COOLING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;DAY HTG STPT_LSST;LSST/PISO02/FANCOIL11/SETPOINT_HEATING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;NGT CLG STPT_LSST;LSST/PISO02/FANCOIL11/SETPOINT_COOLING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;NGT HTG STPT_LSST;LSST/PISO02/FANCOIL11/SETPOINT_HEATING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;CTL STPT_LSST;LSST/PISO02/FANCOIL11/SETPOINT_TRABAJO_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;PP_selector_LSST;LSST/PISO02/FANCOIL11/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;OK;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 2;FANCOIL N°12;HEAT.COOL;LSST/PISO02/FANCOIL12/ESTADO_OPERACION;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;HTG STG 1;LSST/PISO02/FANCOIL12/ESTADO_CALEFACTOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;FAN;LSST/PISO02/FANCOIL12/ESTADO_VENTILADOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;ROOM TEMP;LSST/PISO02/FANCOIL12/TEMPERATURA_SALA;.;;ANALOG VALUE;READ ;22;20°C a 26°C;°C;OK;;;
;;VLV POS;LSST/PISO02/FANCOIL12/%_APERTURA_VALVULA_FRIO;.;;ANALOG OUTPUT;READ ;22;0% a 100%;%;OK;;;
;;DAY CLG STPT;LSST/PISO02/FANCOIL12/SETPOINT_COOLING_DAY;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;DAY HTG STPT;LSST/PISO02/FANCOIL12/SETPOINT_HEATING_DAY;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;NGT CLG STPT;LSST/PISO02/FANCOIL12/SETPOINT_COOLING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;NGT HTG STPT;LSST/PISO02/FANCOIL12/SETPOINT_HEATING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;CTL STPT;LSST/PISO02/FANCOIL12/SETPOINT_TRABAJO;.;;ANALOG OUTPUT;READ ;22;18°C a 30°C;°C;OK;;;
;;PP_selector;LSST/PISO02/FANCOIL12/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;VLV POS_LSST;LSST/PISO02/FANCOIL12/%_APERTURA_VALVULA_FRIO_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;OK;;;
;;DAY CLG STPT_LSST;LSST/PISO02/FANCOIL12/SETPOINT_COOLING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;DAY HTG STPT_LSST;LSST/PISO02/FANCOIL12/SETPOINT_HEATING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;NGT CLG STPT_LSST;LSST/PISO02/FANCOIL12/SETPOINT_COOLING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;NGT HTG STPT_LSST;LSST/PISO02/FANCOIL12/SETPOINT_HEATING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;CTL STPT_LSST;LSST/PISO02/FANCOIL12/SETPOINT_TRABAJO_LSST;;.;ANALOG OUTPUT;WRITE;22;18°C a 30°C;°C;OK;;;
;;PP_selector_LSST;LSST/PISO02/FANCOIL12/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;OK;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO;TABLERO;VARIABLE INTERNA SISTEMA;TOPIC MQTT;PUBLICACION;SUSCRIPCION;SEÑAL;READ / WRITE;SIGNAL RANGE ;LIMITES;UNIT;ESTADO ACTUAL;OBSERVACIONES (0) CORRECIONES;;
PISO 4;MANEJADORA SALA BLANCA;CONSIGNA;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/VALOR_CONSIGNA;.;;ANALOG VALUE;READ ;22;18°C a 25°C;°C;OK;;;
;;ROOM TEMP;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/ESTADO_TEMPERATURA_AMBIENTE;.;;ANALOG VALUE;READ ;22;18°C a 24°C;°C;OK;;;
;;TEMP_EXTERNA;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/ESTADO_TEMPERATURA_EXTERIOR;.;;ANALOG VALUE;READ ;22;-4°C a 24°C;°C;OK;;;
;;TEMP_ANTIFREEZE;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/ESTADO_TEMPERATURA_ANTICONGELANTE;.;;ANALOG VALUE;READ ;22;-14°C a 0°C;°C;OK;;;
;;SET_POINT_TRABAJO;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/SETPOINT_TRABAJO;.;;ANALOG VALUE;READ ;22;18°C a 25°C;°C;OK;;;
;;TEMP_IMPULSION;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/TEMPERATURA_INYECCION;.;;ANALOG VALUE;READ ;22;10°C a 25°C;°C;OK;;;
;;TEMP_RECUPERACION;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/TEMPERATURA_RETORNO;.;;ANALOG VALUE;READ ;22;18°C a 35°C;°C;OK;;;
;;MED_CAUDAL;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/CAUDAL_VENTILADOR_IMPULSION;.;;ANALOG VALUE;READ ;22;0% a 20%;%;OK;;;
;;SET_POINT_VENTILADOR_MINIMO;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/SETPOINT_VENTILADOR_MIN;.;;ANALOG VALUE;READ ;22;20% a 100%;%;OK;;;
;;SET_POINT_VENTILADOR_MAXIMO;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/SETPOINT_VENTILADOR_MAX;.;;ANALOG VALUE;READ ;22;0% a 100%;%;OK;;;
